nome,apelido,serie,idade,nacionalidade,genero,altura,peso,data_nascimento,imagem,crime,pena_anos,cela,perigo,comportamento,regime,data_prisao,tempo_restante,isolamento,risco_fuga,saude,doencas,psicologico,medicacao,tentativas_fuga,historico_violencia,ultima_ocorrencia,alerta
"Artemis ","Leitinha de Anjo","32818","25","Russa (Imigrante)","Mulher Cis","1.90","4.50","06/11/2000","C:\Users\nictr\projects\faculdade\projects\faculdade\fotos\detenta_1779275717469.jpg","atentado ao pudor e agressão embriagada","4","7","Media","Regular","Fechado","18/02/2025","3","0","1","Ótimo estado","Nenhuma","Péssimo estado","Nenhuma","3","20","18/02/2025","média"
"Beatriz Azeredo Sanches","Bia","36610","23","Brasileira","Mulher Cis","1.79","62.00","07/08/2003","-","Estelionatária, formação de quadrilha, sequest","115","B77","Baixa","Bom","Fechado","18/05/2026","115","0","1","ótima","sinusite, miopia, astigmatismo, atrofia do corneto nasal, transtorno de identidade, transtorno de p","instavel","dipirona de 6/6 horas","0","psicótima, criou violencias sozinha","caiu na porrad com a grade da cela","sim"
"Bernadete Arrigoni","Arrigoni","12209","24","Brasileira","Mulher Cis","1.78","68.00","11/09/2001","-","Agiotagem, Organizadora de casa de aposta ,Esquem","20","D4","Media","Bom","Fechado","21/02/2023","17","1","0","Mediocre","Paranoia, Esquizofrenia, Vício em apostas, assaltante compulsiva","Levemente alterado","Novalgina","0","Esfaqueou a mão de uma detenta após ela tentar trapacear em uma aposta","Realizar um sistema de apostas dentro da cadeia ","alta"
"Gabriela Ferreira","Gabi","26756","23","Brasileira","Mulher Cis","1.53","45.00","28/12/2002","-","Homicidio","30","B-12","Alta","Bom","Fechado","22/01/2018","22","0","1","Instavel","Nenhuma","Instavel","Viciado em Rivotril","8","Alto","Dois dias","Alto"
"Guilherma Marques Rodriguez","Sua Mãe","34866","53","PCC","Mulher Trans","1.69","173.00","18/05/2000","-","Rebolou errado no cano da Glock.","178","157","Extrema","Critico","Fechado","15/07/2025","178","1","1","Péssima","Viadagem extrema","Uma merda","Paulada nas canela","59","É mais de 8 mil?!","20/12/2025","157"
"Josepha Eduarda Guimarães Carvalho da Costa","Dudão","30583","18","Brasileira","Mulher Cis","1.90","85.00","11/06/2007","-","Trafico","15","A-15","Alta","Bom","Fechado","02/07/2026","15","1","0","Semi-Cega","Nenhuma","Afetada","Methyl","0","0","N/D","Baixo"
"Kauane Pinto Mole","Kauane","10100","19","Brasileira","Mulher Cis","1.54","50.00","20/07/2006","-","Hominicio","30","B-12","Alta","Bom","Fechado","01/03/1999","3","0","1","Instavel","Nenhuma","Instavel","Viciado em Crack","8","alto","dois dias","alto"
"Leonarda A.Berta","Lalada","18976","27","Brasileira","Mulher Trans","1.70","82.00","01/09/1998","-","Etelionato","30","A-69","Extrema","Bom","Fechado","01/09/2026","30","1","1","Boa","HIV, Sífilis, Gonorréia, Herpes, Esquizofrenia, Diarréia, Anta Vírus, Clamídia","Instável","Sim","69","Bateu na mâe e no Guilherme","Ontem","Alto pra caralho"
"Luana Faleiro Castellano Pereira","Faleiro","29557","24","","Mulher Cis","1.77","6.30","24/05/2001","","Matar o Presidente","3","Quarto de Casa","Extrema","Bom","Aberto","19/05/2026","3","0","0","Bem de Saúde","Nenhuma","Não muito normal","","150","Nenhuma","Assalto a Banco","Nenhum"
"Nicolle Trovoada","Nick","36304","22","Brasileira","Mulher Cis","1.70","57.60","21/07/2003","C:\Users\nictr\projects\faculdade\projects\faculdade\fotos\detenta_1779257297894.jpg","Aliciamento de Menores","40","C-12","Baixa","Regular","Fechado","21/07/2015","30","1","0","Instavel","Nenhuma","Afetada","Parecetanol","0","Baixo","N/D","Baixo"
"Ronalde Russinho","Vulgo Russinho, Novinha Quente","18013","69","Carioca","Mulher Trans","1.30","67.00","06/7/1967","-","Amar demais","6969","sixseven","Media","Regular","Semiaberto","06/07/1967","6911","1","1","Da boa","Farma pouca aura, menos ego , todo moggado","Depende ","Uso de aura","6","7","6","9"
